Wall time,Step,Value
1552417848.573867,0,2.168519973754883
1552417951.9313936,1,1.6513179540634155
1552418039.8722,2,1.3962212800979614
1552418128.2349722,3,1.2382543087005615
1552418215.906766,4,1.1299304962158203
1552418303.8694577,5,1.0494236946105957
1552418392.1638503,6,0.9902519583702087
1552418479.8668656,7,0.9422746896743774
1552418567.7949357,8,0.8993726968765259
1552418656.009574,9,0.8738081455230713
1552418743.762126,10,0.8394368886947632
1552418831.4392698,11,0.8207918405532837
1552418918.9096844,12,0.7938076853752136
1552419006.6976302,13,0.7803362607955933
1552419094.520384,14,0.7610772848129272
1552419182.4477577,15,0.7456908822059631
1552419270.247834,16,0.737523078918457
1552419358.6060307,17,0.7276098728179932
1552419446.2477558,18,0.7163464426994324
1552419533.7666502,19,0.6695067286491394
1552419621.8865075,20,0.6523515582084656
1552419710.2829409,21,0.6445966958999634
1552419798.3079827,22,0.6403288245201111
1552419886.0564466,23,0.6304179430007935
1552419974.1848798,24,0.622291624546051
1552420061.8867302,25,0.6173821687698364
1552420149.466519,26,0.6127232909202576
1552420237.0634923,27,0.6047701835632324
1552420324.7867174,28,0.6025949120521545
1552420412.5239446,29,0.594509482383728
1552420500.1810935,30,0.594011127948761
1552420588.3570607,31,0.587101399898529
1552420676.137894,32,0.5811347365379333
1552420763.6908,33,0.577708899974823
1552420851.225686,34,0.5778418183326721
1552420939.034938,35,0.5780788064002991
1552421026.4248774,36,0.5718759298324585
1552421118.024033,37,0.5674727559089661
1552421206.687933,38,0.5676612257957458
1552421294.8670542,39,0.5358961820602417
1552421383.1730568,40,0.5227895379066467
1552421471.3495164,41,0.519660472869873
1552421559.8973434,42,0.5156789422035217
1552421647.787931,43,0.5102881193161011
1552421735.889777,44,0.5119161605834961
1552421823.940029,45,0.502382755279541
1552421912.0444999,46,0.4956682622432709
1552421999.7926924,47,0.49621739983558655
1552422087.6426206,48,0.4946386218070984
1552422176.0081203,49,0.4856947958469391
1552422263.7771623,50,0.4932326376438141
1552422351.6595228,51,0.4895305037498474
1552422439.636428,52,0.48971161246299744
1552422527.4118218,53,0.48492908477783203
1552422615.1533055,54,0.48265063762664795
1552422703.0599728,55,0.4812459945678711
1552422790.997472,56,0.48446378111839294
1552422878.8206463,57,0.4735979437828064
1552422966.5572112,58,0.4786628782749176
1552423054.598133,59,0.4480545222759247
1552423143.0334284,60,0.43523043394088745
1552423231.2273364,61,0.4344974160194397
1552423319.1266885,62,0.42895522713661194
1552423407.5149112,63,0.43317243456840515
1552423495.1610992,64,0.4252401888370514
1552423582.8877065,65,0.42861825227737427
1552423670.8561068,66,0.42140665650367737
1552423758.7645075,67,0.4235967993736267
1552423846.935634,68,0.4165329337120056
1552423934.852319,69,0.41890931129455566
1552424022.5653296,70,0.4163089990615845
1552424110.9367337,71,0.41527119278907776
1552424199.0809581,72,0.41658589243888855
1552424287.125483,73,0.41543063521385193
1552424374.9410279,74,0.4089725911617279
1552424462.8289766,75,0.40503692626953125
1552424550.7096322,76,0.41086089611053467
1552424638.4467344,77,0.4074002802371979
1552424726.0371735,78,0.4058951437473297
1552424813.003122,79,0.38236236572265625
1552424904.274722,80,0.37406858801841736
1552424992.2234347,81,0.37040403485298157
1552425080.152897,82,0.36698195338249207
1552425168.0138273,83,0.37102460861206055
1552425256.3460057,84,0.3659147024154663
1552425344.0995867,85,0.36267539858818054
1552425431.981484,86,0.3628266155719757
1552425519.9201915,87,0.35530567169189453
1552425607.6894429,88,0.3591889441013336
1552425695.5639153,89,0.35296520590782166
1552425783.5259545,90,0.35983362793922424
1552425871.5099537,91,0.35081908106803894
1552425959.416312,92,0.354976087808609
1552426047.2440908,93,0.35238486528396606
1552426134.9991918,94,0.352813184261322
1552426222.1892922,95,0.35307949781417847
1552426308.4321485,96,0.3477160334587097
1552426394.6288505,97,0.35042741894721985
1552426480.56365,98,0.3458026945590973
1552426566.3440435,99,0.3263414800167084
1552426652.5606914,100,0.3244464695453644
1552426738.2231748,101,0.31827300786972046
1552426824.1480422,102,0.32088619470596313
1552426910.201246,103,0.3107624053955078
1552426996.0194693,104,0.3107311725616455
1552427082.078011,105,0.31228572130203247
1552427167.7768154,106,0.312228262424469
1552427253.5355577,107,0.30387985706329346
1552427339.482904,108,0.3086865246295929
1552427425.444437,109,0.30856630206108093
1552427511.3788679,110,0.30263957381248474
1552427596.9922123,111,0.3064711391925812
1552427682.7809937,112,0.30125653743743896
1552427768.426917,113,0.3063874840736389
1552427854.344697,114,0.3001761734485626
1552427940.2232,115,0.30241817235946655
1552428025.7420871,116,0.307729035615921
1552428111.2556295,117,0.3054172396659851
1552428196.882849,118,0.2981029450893402
1552428282.6496902,119,0.280927836894989
1552428369.0136375,120,0.2767627537250519
1552428454.7729983,121,0.27624067664146423
1552428540.3570473,122,0.27187585830688477
1552428626.0689962,123,0.2702130675315857
1552428711.702413,124,0.2728208899497986
1552428797.3908749,125,0.2672366499900818
1552428883.1206808,126,0.2684592008590698
1552428968.832137,127,0.2661677598953247
1552429054.572815,128,0.26054298877716064
1552429140.1223197,129,0.26312902569770813
1552429225.9515238,130,0.2621519863605499
1552429311.6788042,131,0.26858124136924744
1552429397.4654298,132,0.25899213552474976
1552429483.1566741,133,0.2630309462547302
1552429568.8498096,134,0.26078590750694275
1552429654.711879,135,0.25979897379875183
1552429740.4597023,136,0.26169562339782715
1552429826.2986774,137,0.26215073466300964
1552429912.0384035,138,0.25401565432548523
1552429997.9352973,139,0.24302725493907928
