Wall time,Step,Value
1552417848.573889,0,0.4891200065612793
1552417951.931431,1,0.6383200287818909
1552418039.872224,2,0.7005599737167358
1552418128.2349908,3,0.7393800020217896
1552418215.9067845,4,0.7600200176239014
1552418303.8694773,5,0.7802000045776367
1552418392.1638691,6,0.7891799807548523
1552418479.8668904,7,0.7989000082015991
1552418567.7949579,8,0.8059399724006653
1552418656.0096025,9,0.8117200136184692
1552418743.7621562,10,0.8196399807929993
1552418831.4392939,11,0.8234000205993652
1552418918.909704,12,0.8301799893379211
1552419006.697655,13,0.8310400247573853
1552419094.52041,14,0.8354399800300598
1552419182.4477773,15,0.8396999835968018
1552419270.2478576,16,0.8427600264549255
1552419358.6060555,17,0.8453800082206726
1552419446.247781,18,0.8479800224304199
1552419533.766675,19,0.8608999848365784
1552419621.8865645,20,0.8644000291824341
1552419710.2829704,21,0.8664600253105164
1552419798.308002,22,0.865119993686676
1552419886.056476,23,0.8677600026130676
1552419974.1849034,24,0.8708999752998352
1552420061.8867552,25,0.8715999722480774
1552420149.4665704,26,0.871999979019165
1552420237.0635114,27,0.8736199736595154
1552420324.7867405,28,0.875540018081665
1552420412.5239701,29,0.8779199719429016
1552420500.1811132,30,0.8783599734306335
1552420588.3570852,31,0.8796799778938293
1552420676.137913,32,0.8820400238037109
1552420763.6908245,33,0.8822600245475769
1552420851.2257113,34,0.8819599747657776
1552420939.0349624,35,0.8825600147247314
1552421026.4249182,36,0.8843799829483032
1552421118.0240571,37,0.8848199844360352
1552421206.6879556,38,0.8867599964141846
1552421294.8670797,39,0.8955199718475342
1552421383.1730967,40,0.8968600034713745
1552421471.3495677,41,0.8982599973678589
1552421559.8973691,42,0.8987799882888794
1552421647.7879543,43,0.8996800184249878
1552421735.889797,44,0.8984400033950806
1552421823.9400537,45,0.9028599858283997
1552421912.0445182,46,0.9042800068855286
1552421999.7927222,47,0.9038800001144409
1552422087.642645,48,0.9031800031661987
1552422176.0081396,49,0.9046199917793274
1552422263.7771912,50,0.9039999842643738
1552422351.6595824,51,0.9051399827003479
1552422439.6364546,52,0.9038199782371521
1552422527.4118404,53,0.9064800143241882
1552422615.153329,54,0.9060400128364563
1552422703.0600002,55,0.906220018863678
1552422790.9975147,56,0.9063199758529663
1552422878.8206775,57,0.9090999960899353
1552422966.5572355,58,0.9074199795722961
1552423054.5981522,59,0.9184399843215942
1552423143.0334523,60,0.9197999835014343
1552423231.2273598,61,0.9204599857330322
1552423319.126732,62,0.9211599826812744
1552423407.5149302,63,0.9186800122261047
1552423495.1611211,64,0.9214000105857849
1552423582.8877258,65,0.9192600250244141
1552423670.8561323,66,0.9221600294113159
1552423758.7645833,67,0.9210000038146973
1552423846.9356604,68,0.9228399991989136
1552423934.8523448,69,0.9216799736022949
1552424022.5653615,70,0.921779990196228
1552424110.9367535,71,0.922760009765625
1552424199.0809963,72,0.9211000204086304
1552424287.1255028,73,0.9218400120735168
1552424374.9410532,74,0.9251999855041504
1552424462.8290012,75,0.924340009689331
1552424550.7096524,76,0.9244599938392639
1552424638.4467554,77,0.9239400029182434
1552424726.0372148,78,0.9241999983787537
1552424813.0031478,79,0.9320999979972839
1552424904.2747457,80,0.9340800046920776
1552424992.223456,81,0.9342399835586548
1552425080.1529799,82,0.9366400241851807
1552425168.0138521,83,0.9334200024604797
1552425256.3460317,84,0.93367999792099
1552425344.099612,85,0.9355000257492065
1552425431.9815092,86,0.9356200098991394
1552425519.920216,87,0.9372400045394897
1552425607.689469,88,0.9353799819946289
1552425695.5639405,89,0.9380599856376648
1552425783.5259936,90,0.9363999962806702
1552425871.5099783,91,0.9389200210571289
1552425959.4163353,92,0.9373800158500671
1552426047.2441187,93,0.9369400143623352
1552426134.999211,94,0.9378200173377991
1552426222.1893208,95,0.9373599886894226
1552426308.432168,96,0.9388800263404846
1552426394.628873,97,0.9379400014877319
1552426480.5636723,98,0.9390000104904175
1552426566.344063,99,0.9467599987983704
1552426652.5607133,100,0.9450200200080872
1552426738.2231922,101,0.9468200206756592
1552426824.1480649,102,0.9460200071334839
1552426910.2012637,103,0.9492800235748291
1552426996.019487,104,0.948140025138855
1552427082.078028,105,0.9475600123405457
1552427167.776839,106,0.9470000267028809
1552427253.535616,107,0.9504799842834473
1552427339.482927,108,0.9488800168037415
1552427425.444922,109,0.9472200274467468
1552427511.37889,110,0.9499599933624268
1552427596.9922373,111,0.9484000205993652
1552427682.7810218,112,0.9505400061607361
1552427768.4269545,113,0.9485999941825867
1552427854.3447163,114,0.9498400092124939
1552427940.2232382,115,0.9495000243186951
1552428025.74211,116,0.9464600086212158
1552428111.255659,117,0.9480999708175659
1552428196.8828654,118,0.9503200054168701
1552428282.6497073,119,0.9568399786949158
1552428369.0136607,120,0.9567599892616272
1552428454.7730212,121,0.9570800065994263
1552428540.3570642,122,0.9581999778747559
1552428626.069019,123,0.9577800035476685
1552428711.7024362,124,0.956279993057251
1552428797.3908963,125,0.9589200019836426
1552428883.120698,126,0.9577199816703796
1552428968.832155,127,0.9585199952125549
1552429054.5728369,128,0.9598399996757507
1552429140.122357,129,0.9595800042152405
1552429225.951574,130,0.9584800004959106
1552429311.6788256,131,0.9569200277328491
1552429397.4654565,132,0.9603400230407715
1552429483.1566958,133,0.958840012550354
1552429568.8498268,134,0.9594799876213074
1552429654.7118967,135,0.9592999815940857
1552429740.4597354,136,0.9585599899291992
1552429826.2986946,137,0.9580000042915344
1552429912.0384579,138,0.961080014705658
1552429997.9353201,139,0.9640799760818481
